ticket_id,created_at,subject,description,category,priority,sentiment,escalation_flag,sla_breach,resolution_notes,true_root_cause
TCK-035,2026-03-04,Timeout error,Request times out frequently,Performance,High,Negative,TRUE,FALSE,Escalated to infra,Latency Issue
TCK-036,2026-03-05,Performance lag,Slow loading dashboard,Performance,Low,Neutral,FALSE,FALSE,User cleared cache,Latency Issue
TCK-037,2026-03-05,System slow,General slowness reported,General,Low,Neutral,FALSE,FALSE,Monitoring,Latency Issue
,,,,,,,,,,
TCK-038,2026-03-01,Change password,How do I update my password,General,Low,Neutral,FALSE,FALSE,Provided instructions,None
TCK-039,2026-03-02,Feature request,Can you add dark mode,Feature,Low,Positive,FALSE,FALSE,Logged request,None
TCK-040,2026-03-03,Account question,How do I update profile info,General,Low,Neutral,FALSE,FALSE,Provided guidance,None
TCK-041,2026-03-04,General inquiry,What features are included,General,Low,Neutral,FALSE,FALSE,Responded,None
TCK-042,2026-03-05,Support question,How to export data,General,Low,Neutral,FALSE,FALSE,Sent instructions,None
TCK-043,2026-03-05,Help needed,Need help with settings,General,Low,Neutral,FALSE,FALSE,Assisted,None
TCK-044,2026-03-06,UI feedback,The UI looks great,Feedback,Low,Positive,FALSE,FALSE,Noted,None
TCK-045,2026-03-06,Password change,Want to update password,General,Low,Neutral,FALSE,FALSE,Guided,None
,,,,,,,,,,
TCK-046,2026-03-01,test,test,Test,Low,Neutral,FALSE,FALSE,None,None
TCK-047,2026-03-02,asdf,asdfasdf,Test,Low,Neutral,FALSE,FALSE,None,None
TCK-048,2026-03-03,blank,,Test,Low,Neutral,FALSE,FALSE,None,None
TCK-049,2026-03-04,duplicate ticket,duplicate ticket,Test,Low,Neutral,FALSE,FALSE,None,None
TCK-050,2026-03-05,spam,click this link now!!!,Spam,Low,Negative,FALSE,FALSE,None,None
